@RELATION corpus

@ATTRIBUTE CRFSO1 REAL
@ATTRIBUTE CRFANP1 REAL
@ATTRIBUTE WRDADJ REAL
@ATTRIBUTE WRDPRO REAL
@ATTRIBUTE DRNEG REAL
@ATTRIBUTE DESWLsyd REAL
@ATTRIBUTE DESWLltd REAL
@ATTRIBUTE DESWLsy REAL
@ATTRIBUTE CRFCWOa REAL
@ATTRIBUTE DESSC REAL
@ATTRIBUTE DRNP REAL
@ATTRIBUTE CRFSOa REAL
@ATTRIBUTE CRFAO1 REAL
@ATTRIBUTE DESWC REAL
@ATTRIBUTE DESSL REAL
@ATTRIBUTE WRDVERB REAL
@ATTRIBUTE CNCADC REAL
@ATTRIBUTE DRVP REAL
@ATTRIBUTE SYNNP REAL
@ATTRIBUTE RDFFGL REAL
@ATTRIBUTE CNCCaus REAL
@ATTRIBUTE LDTTRc REAL
@ATTRIBUTE CRFAOa REAL
@ATTRIBUTE CNCTemp REAL
@ATTRIBUTE CRFCWOad REAL
@ATTRIBUTE CRFNOa REAL
@ATTRIBUTE CNCAdd REAL
@ATTRIBUTE WRDPRP2 REAL
@ATTRIBUTE CRFCWO1d REAL
@ATTRIBUTE CNCLogic REAL
@ATTRIBUTE WRDNOUN REAL
@ATTRIBUTE LDTTRa REAL
@ATTRIBUTE CRFCWO1 REAL
@ATTRIBUTE CNCAll REAL
@ATTRIBUTE WRDPRP3s REAL
@ATTRIBUTE DESPL REAL
@ATTRIBUTE WRDPRP3p REAL
@ATTRIBUTE DESSLd REAL
@ATTRIBUTE WRDPRP1s REAL
@ATTRIBUTE DESWLlt REAL
@ATTRIBUTE CRFANP1a REAL
@ATTRIBUTE WRDPRP1p REAL
@ATTRIBUTE CRFNO1 REAL
@ATTRIBUTE WRDADV REAL
@ATTRIBUTE DESPC REAL
@ATTRIBUTE class {simple,complejo}

@DATA
0.117647,0.000000,0.012000,0.012000,5.000000,1.009591,2.473383,1.902017,0.120302,18.000000,0.000000,0.256173,0.352941,347.000000,19.277778,0.064000,0.005000,18.000000,0.577982,88.229965,0.000000,0.546296,0.524691,0.001000,0.105995,0.182099,0.016000,0.000000,0.054237,0.014000,0.078000,0.469438,0.100551,0.022000,0.001000,155.130089,0.009000,10.548518,0.001000,4.391931,0.000000,0.001000,0.117647,0.014000,10.000000,simple
0.454545,0.000000,0.017000,0.006000,2.000000,1.053798,2.491287,1.943333,0.148806,12.000000,0.000000,0.569444,0.454545,300.000000,25.000000,0.055000,0.003000,12.000000,0.732558,86.607953,0.000000,0.574007,0.583333,0.001000,0.121374,0.486111,0.017000,0.001000,0.055571,0.016000,0.062000,0.519288,0.116193,0.021000,0.002000,197.222379,0.002000,11.739599,0.001000,4.246667,0.000000,0.000000,0.272727,0.019000,4.000000,simple
0.266667,0.000000,0.015000,0.015000,2.000000,1.131920,2.698156,1.983957,0.117558,16.000000,0.000000,0.378906,0.266667,374.000000,23.375000,0.070000,0.002000,16.000000,0.764151,83.989483,0.002000,0.569405,0.433594,0.002000,0.114165,0.214844,0.013000,0.000000,0.056969,0.012000,0.077000,0.504673,0.088371,0.019000,0.005000,98.093493,0.005000,15.709339,0.001000,4.510695,0.000000,0.004000,0.200000,0.020000,3.000000,simple
0.500000,0.000000,0.006000,0.009000,1.000000,1.209531,2.833462,1.987755,0.116133,15.000000,0.000000,0.257778,0.714286,245.000000,16.333333,0.055000,0.000000,14.000000,0.583333,82.316962,0.001000,0.618026,0.413333,0.005000,0.114295,0.208889,0.009000,0.002000,0.050797,0.010000,0.058000,0.539519,0.114278,0.015000,0.006000,165.613707,0.001000,6.332080,0.000000,4.465306,0.000000,0.000000,0.428571,0.013000,6.000000,simple
0.375000,0.000000,0.018000,0.014000,7.000000,1.016539,2.443424,1.870588,0.098626,25.000000,0.000000,0.292800,0.541667,340.000000,13.600000,0.064000,0.006000,23.000000,0.710000,88.032541,0.005000,0.476636,0.396800,0.006000,0.100309,0.296000,0.013000,0.003000,0.076394,0.011000,0.078000,0.432990,0.103242,0.025000,0.005000,80.423399,0.004000,7.053368,0.002000,4.144118,0.000000,0.000000,0.375000,0.027000,13.000000,simple
0.250000,0.000000,0.014000,0.018000,3.000000,1.093614,2.641993,1.953704,0.073041,29.000000,0.000000,0.190250,0.464286,324.000000,11.172414,0.072000,0.007000,26.000000,0.500000,81.974367,0.004000,0.553333,0.249703,0.005000,0.104691,0.171225,0.007000,0.005000,0.063965,0.007000,0.073000,0.480620,0.064169,0.020000,0.005000,112.345517,0.000000,7.860702,0.008000,4.413580,0.000000,0.000000,0.250000,0.020000,12.000000,simple
0.571429,0.000000,0.008000,0.005000,2.000000,1.246988,2.785746,1.988235,0.125587,15.000000,0.000000,0.542222,0.714286,255.000000,17.000000,0.060000,0.002000,15.000000,0.521739,82.233382,0.005000,0.534979,0.662222,0.005000,0.113148,0.542222,0.006000,0.000000,0.058258,0.006000,0.059000,0.489583,0.098980,0.015000,0.004000,66.905406,0.001000,7.690439,0.000000,4.450980,0.000000,0.000000,0.571429,0.013000,3.000000,simple
0.238095,0.000000,0.013000,0.016000,6.000000,0.989215,2.450310,1.863388,0.106002,22.000000,0.000000,0.252066,0.523810,366.000000,16.636364,0.083000,0.004000,22.000000,0.600000,89.769116,0.001000,0.571848,0.497934,0.003000,0.100429,0.227273,0.014000,0.006000,0.057490,0.014000,0.075000,0.497653,0.096380,0.022000,0.008000,212.060077,0.000000,8.899146,0.001000,4.122951,0.000000,0.001000,0.238095,0.023000,7.000000,simple
0.333333,0.000000,0.012000,0.006000,5.000000,1.037702,2.460098,2.009901,0.096931,37.000000,0.000000,0.271731,0.416667,404.000000,10.918919,0.087000,0.006000,26.000000,0.618644,78.181838,0.007000,0.485488,0.344047,0.008000,0.143418,0.234478,0.010000,0.000000,0.158100,0.010000,0.086000,0.440171,0.167590,0.027000,0.005000,146.629730,0.001000,8.772996,0.000000,4.495050,0.000000,0.000000,0.277778,0.035000,9.000000,simple
0.222222,0.000000,0.019000,0.007000,3.000000,1.219659,2.744037,2.055728,0.092187,19.000000,0.000000,0.185596,0.388889,323.000000,17.000000,0.073000,0.007000,18.000000,0.688889,78.157504,0.001000,0.611486,0.437673,0.006000,0.107293,0.180055,0.012000,0.000000,0.060827,0.014000,0.059000,0.556474,0.077217,0.027000,0.005000,91.727858,0.001000,10.588253,0.001000,4.476780,0.000000,0.000000,0.222222,0.023000,4.000000,simple
